time	sw_delta_vac	sw_delta_vac0	sw_delta_delta	sw_delta_bst	sw_ba2_ba1	sw_ba2_ba2	sw_ba2_bst	sw_ba5_ba1	sw_ba5_ba2	sw_ba5_ba5	sw_ba5_bst	sw_ba1_bst	sw_ba1_ba1	sw_alpha_vac	sw_alpha_alpha	sw_wt_vac	sw_ba5_biv	sw_bq1_bst	sw_bq1_biv	sw_bq1_ba1	sw_bq1_ba2	sw_bq1_ba5	sw_bq1_bq1	sw_xbb_bst	sw_xbb_biv	sw_xbb_bq1	sw_xbb_ba5	sw_xbb_xbb
43846	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43847	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43848	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43849	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43850	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43851	0.0	0.0	0.0	0.0	5.035081757825157e-12	0.0	0.0	3.895328632565666e-12	0.0	0.0	0.0	0.0	3.815326924845558e-12	0.0	0.0	0.0	0.0	0.0	0.0	9.811866619009103e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43852	0.0	0.0	0.0	0.0	4.31659148714545e-12	0.0	0.0	3.317444188827075e-12	0.0	0.0	0.0	0.0	3.2919072021643414e-12	0.0	0.0	0.0	0.0	0.0	0.0	8.303433257039823e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43853	0.0	0.0	0.0	0.0	4.317027419636048e-12	0.0	0.0	3.2959326560144383e-12	0.0	0.0	0.0	0.0	3.313437344538444e-12	0.0	0.0	0.0	0.0	0.0	0.0	8.19786637060908e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43854	0.0	0.0	0.0	0.0	4.317092027700117e-12	0.0	0.0	3.274323379225327e-12	0.0	0.0	0.0	0.0	3.3348657881173755e-12	0.0	0.0	0.0	0.0	0.0	0.0	8.09346269292179e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43855	0.0	0.0	0.0	0.0	4.316785291532929e-12	0.0	0.0	3.2526212017035258e-12	0.0	0.0	0.0	0.0	3.3561876533786038e-12	0.0	0.0	0.0	0.0	0.0	0.0	7.99021411051109e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43856	0.0	0.0	0.0	0.0	2.3219031060955183e-11	0.0	0.0	1.7854843757840585e-11	0.0	0.0	0.0	0.0	1.7701064953556932e-11	0.0	0.0	0.0	0.0	0.0	0.0	4.472425046211665e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43857	0.0	0.0	0.0	0.0	2.6791336073107164e-11	0.0	0.0	2.0500946333460455e-11	0.0	0.0	0.0	0.0	2.0521909877891942e-11	0.0	1.9924529901277393e-10	0.0	0.0	0.0	0.0	5.111228770166969e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43858	0.0	0.0	0.0	0.0	2.6792493301666275e-11	0.0	0.0	2.036706633809924e-11	0.0	0.0	0.0	0.0	2.0655072382294834e-11	0.0	2.0056294581311747e-10	0.0	0.0	0.0	0.0	5.046178834436806e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43859	0.0	0.0	0.0	0.0	2.973957032943614e-11	0.0	0.0	2.2513456174368413e-11	0.0	0.0	0.0	0.0	2.302159578328355e-11	0.0	5.322969478510624e-10	0.0	0.0	0.0	0.0	5.556367930890879e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43860	0.0	0.0	0.0	0.0	2.973667187407561e-11	0.0	0.0	2.2363807619636077e-11	0.0	0.0	0.0	0.0	2.3168198327601598e-11	0.0	5.357876433474616e-10	0.0	0.0	0.0	0.0	5.485458486378049e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43861	0.0	0.0	0.0	0.0	2.973121755542115e-11	0.0	0.0	2.2213561958866807e-11	0.0	0.0	0.0	0.0	2.3314022159727426e-11	0.0	9.559505754764837e-10	0.0	0.0	0.0	0.0	5.415337439916861e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43862	0.0	0.0	0.0	0.0	2.972320904382601e-11	0.0	0.0	2.2062752154922765e-11	0.0	0.0	0.0	0.0	2.3459033437041526e-11	0.0	9.621635659044302e-10	0.0	0.0	0.0	0.0	5.345999095919749e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43863	0.0	0.0	0.0	0.0	2.971264879148937e-11	0.0	0.0	2.1911410985637284e-11	0.0	0.0	0.0	0.0	2.360319823043336e-11	0.0	1.4338808363349964e-09	0.0	0.0	0.0	0.0	5.277437715184628e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43864	0.0	0.0	0.0	0.0	3.048164605151443e-11	0.0	0.0	2.236463766633794e-11	0.0	0.0	0.0	0.0	2.433912240040959e-11	0.0	1.4431106834691617e-09	0.0	0.0	0.0	0.0	5.3620565615001405e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43865	0.0	0.0	0.0	0.0	3.0934462212908904e-11	0.0	0.0	2.257076398066585e-11	0.0	0.0	0.0	0.0	2.4840282687398624e-11	0.0	1.4522937141160986e-09	0.0	0.0	0.0	0.0	5.384359581140114e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43866	0.0	0.0	0.0	0.0	3.1663952663212184e-11	0.0	0.0	2.299010900115223e-11	0.0	0.0	0.0	0.0	2.5554382272119876e-11	0.0	3.8894432981120595e-09	0.0	0.0	0.0	0.0	5.460691568808948e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43867	0.0	0.0	0.0	0.0	3.2107980475430855e-11	0.0	0.0	2.3186405634288e-11	0.0	0.0	0.0	0.0	2.6056802916432697e-11	0.0	4.428238258004523e-09	0.0	0.0	0.0	0.0	5.480821641974032e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43868	0.0	0.0	0.0	0.0	3.217842187128103e-11	0.0	0.0	2.3092982769454234e-11	0.0	0.0	0.0	0.0	2.6279382684211453e-11	0.0	4.456650051398496e-09	0.0	0.0	0.0	0.0	5.4283126828654426e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43869	0.0	0.0	0.0	0.0	3.2152565696157634e-11	0.0	0.0	2.292630345755782e-11	0.0	0.0	0.0	0.0	2.6430408500591524e-11	0.0	5.0096941272258905e-09	0.0	0.0	0.0	0.0	5.358143691925185e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43870	0.0	0.0	0.0	0.0	3.2123976806334694e-11	0.0	0.0	2.2759262561783753e-11	0.0	0.0	0.0	0.0	2.658028442642367e-11	0.0	6.0931190650338946e-09	0.0	0.0	0.0	0.0	5.288778655982249e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43871	0.0	0.0	6.957694380212062e-28	0.0	3.209376162079578e-11	0.0	0.0	2.2592743033785006e-11	0.0	0.0	0.0	0.0	2.6729805245788223e-11	0.0	6.131484144136147e-09	0.0	0.0	0.0	0.0	5.220425010460203e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43872	0.0	0.0	7.003706927475558e-28	0.0	3.2059734471927295e-11	0.0	0.0	2.242507440303132e-11	0.0	0.0	0.0	0.0	2.687727592958732e-11	0.0	6.169636116554036e-09	0.0	0.0	0.0	0.0	5.152645723355008e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43873	0.0	0.0	7.049513445713951e-28	0.0	3.202300311712774e-11	0.0	0.0	2.2257144428852414e-11	0.0	0.0	0.0	0.0	2.7023485830810778e-11	0.0	6.207566068107413e-09	0.0	0.0	0.0	0.0	5.085650930635265e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43874	0.0	0.0	7.095103594379174e-28	0.0	3.1983578719695426e-11	0.0	0.0	2.2088985905581806e-11	0.0	0.0	0.0	0.0	2.7168398114726737e-11	0.0	6.245265065413254e-09	0.0	0.0	0.0	0.0	5.019434095509592e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43875	0.0	0.0	7.140466992028591e-28	0.0	3.194147324758767e-11	0.0	0.0	2.1920631295926035e-11	0.0	0.0	0.0	0.0	2.7311976035927214e-11	0.0	6.282724159654421e-09	0.0	0.0	0.0	0.0	4.953988665495808e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43876	0.0	0.0	3.024480433548e-20	0.0	3.189669950677343e-11	0.0	0.0	2.1752112752100304e-11	0.0	0.0	0.0	0.0	2.7454182985623718e-11	0.0	6.319934390396096e-09	0.0	0.0	0.0	0.0	4.889308082621679e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43877	0.0	0.0	1.8471905748743322e-19	0.0	3.1849270975524544e-11	0.0	0.0	2.158346198343378e-11	0.0	0.0	0.0	0.0	2.759498238870408e-11	0.0	6.356886789446526e-09	0.0	0.0	0.0	0.0	4.825385754753021e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43878	0.0	0.0	1.3703978764765116e-18	0.0	3.1799202032750653e-11	0.0	0.0	2.1414710430307005e-11	0.0	0.0	0.0	0.0	2.7734337898994572e-11	0.0	6.393572384761572e-09	0.0	0.0	0.0	0.0	4.762215104127639e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43879	0.0	0.0	1.3794447854200354e-18	0.0	3.174650779600438e-11	0.0	0.0	2.124588913557865e-11	0.0	0.0	0.0	0.0	2.7872213300266602e-11	0.0	6.768538714787451e-09	0.0	0.0	0.0	0.0	4.699789539247184e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43880	0.0	0.0	1.3884508372487448e-18	0.0	3.1691204149580323e-11	0.0	0.0	2.107702876453659e-11	0.0	0.0	0.0	0.0	2.8008572550897798e-11	0.0	6.8069027290002125e-09	0.0	0.0	0.0	0.0	4.638102464222667e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43881	0.0	0.0	2.5381538740877666e-16	0.0	3.16333077366528e-11	0.0	0.0	2.0908159597506787e-11	0.0	0.0	0.0	0.0	2.8143379801798454e-11	0.0	6.844963014619262e-09	0.0	0.0	0.0	0.0	4.577147281037164e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43882	0.0	0.0	2.2415240852676174e-15	0.0	3.157283595023278e-11	0.0	0.0	2.0739311522206656e-11	0.0	0.0	0.0	0.0	2.827659941376946e-11	0.0	6.882710120818575e-09	0.0	0.0	0.0	0.0	4.516917391593912e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43883	0.0	0.0	5.404913797764664e-15	0.0	3.150980692369598e-11	0.0	0.0	2.0570514026424012e-11	0.0	0.0	0.0	0.0	2.840819597483985e-11	0.0	6.920134610990938e-09	0.0	0.0	0.0	0.0	4.457406199697831e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43884	0.0	0.0	7.803307546016257e-15	0.0	3.1444239520919506e-11	0.0	0.0	2.0401796191046004e-11	0.0	0.0	0.0	0.0	2.8538134317593803e-11	0.0	7.111376596281323e-09	0.0	0.0	0.0	0.0	4.398607112977522e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43885	0.0	0.0	3.081418621341054e-14	0.0	3.137615332603432e-11	0.0	0.0	2.0233186683438363e-11	0.0	0.0	0.0	0.0	2.8666379536475554e-11	0.0	7.220090271698413e-09	0.0	0.0	0.0	0.0	4.3405135447487324e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43886	0.0	0.0	9.338463028775072e-14	0.0	3.130556863280158e-11	0.0	0.0	2.0064713751174146e-11	0.0	0.0	0.0	0.0	2.8792897005058054e-11	0.0	7.316854083024426e-09	0.0	0.0	0.0	0.0	4.283118915820172e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43887	0.0	0.0	9.399876713582732e-14	0.0	3.123250643361921e-11	0.0	0.0	1.9896405216111694e-11	0.0	0.0	0.0	0.0	2.8917652393263148e-11	0.0	7.495027084393688e-09	0.0	0.0	0.0	0.0	4.226416656242619e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43888	0.0	0.0	1.5742400655752299e-13	0.0	3.11569884081682e-11	6.761869810206056e-26	0.0	1.9728288468820367e-11	8.918501136092521e-26	0.0	0.0	0.0	2.9040611684520648e-11	0.0	7.62767860655172e-09	0.0	0.0	0.0	0.0	4.170400207002265e-12	4.887346395633118e-26	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43889	0.0	0.0	2.349162691906264e-13	0.0	3.107903691170542e-11	4.355078405028812e-24	0.0	1.956039046335259e-11	5.743459108970269e-24	0.0	0.0	0.0	2.916174119285227e-11	0.0	7.751052287925705e-09	0.0	0.0	0.0	0.0	4.115063021659228e-12	3.1469904654956608e-24	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43890	0.0	0.0	4.0779378086176086e-13	0.0	3.099867496301267e-11	8.877864418672483e-22	0.0	1.939273771236088e-11	1.1708960240922436e-21	0.0	0.0	0.0	2.928100757986921e-11	0.0	8.02850347160009e-09	0.0	0.0	0.0	0.0	4.060398567932198e-12	6.416239168322461e-22	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43891	0.0	0.0	5.22603959312533e-13	0.0	3.091592623200987e-11	1.7649726276710284e-20	0.0	1.9225356282557164e-11	2.327064025941181e-20	0.0	0.0	0.0	2.939837787166927e-11	0.0	8.293965442596253e-09	0.0	0.0	0.0	0.0	4.006400329230132e-12	1.2746656241974265e-20	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43892	0.0	0.0	6.151714236955166e-13	0.0	3.083081502704188e-11	5.963345488942528e-19	0.0	1.9058271790512598e-11	7.86357221879801e-19	0.0	0.0	0.0	2.951381947562129e-11	0.0	8.565137182807764e-09	0.0	0.0	0.0	0.0	3.953061806131982e-12	4.308066080033734e-19	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43893	0.0	0.0	8.11121105864834e-13	0.0	3.0743366281848294e-11	5.179561312239179e-18	0.0	1.88915093987948e-11	6.825816851233549e-18	0.0	0.0	0.0	2.962730019702479e-11	0.0	9.153810252058365e-09	0.0	0.0	0.0	0.0	3.900376517815393e-12	3.73664471535191e-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43894	0.0	0.0	1.1743036379811368e-12	0.0	3.065360554222558e-11	6.836286052476198e-17	0.0	1.8725093812439757e-11	9.011266241268498e-17	0.0	0.0	0.0	2.9738788255631125e-11	0.0	9.559118886603697e-09	0.0	0.0	0.0	0.0	3.848338003435301e-12	4.934503817069276e-17	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43895	0.0	0.0	1.820522600246744e-12	0.0	3.056155895239139e-11	3.41641344350151e-16	0.0	1.85590492757549e-11	4.499152534563112e-16	0.0	0.0	0.0	2.984825230201497e-11	0.0	1.0122379484530285e-08	0.0	0.0	0.0	0.0	3.796939823453432e-12	2.4608303530047716e-16	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43896	0.0	0.0	4.508610361652417e-12	0.0	3.04672532410615e-11	3.750355862704053e-15	0.0	1.8393399569450144e-11	4.942629738410212e-15	0.0	0.0	0.0	2.995566143378296e-11	0.0	1.0845428730517629e-08	0.0	0.0	0.0	0.0	3.746175560919586e-12	2.7059305954567667e-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43897	0.0	0.0	7.239529150267232e-12	0.0	3.037071570724891e-11	3.038972346232334e-14	0.0	1.8228168008092806e-11	4.004350303414024e-14	0.0	0.0	0.0	3.006098521160769e-11	0.0	1.1801690572718215e-08	0.0	0.0	0.0	0.0	3.696038822705709e-12	2.1917435543381986e-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43898	0.0	0.0	9.846456750714954e-12	0.0	3.027197420579671e-11	1.6502436148674334e-13	0.0	1.806337743788244e-11	2.1733606628663487e-13	0.0	0.0	0.0	3.016419367507495e-11	0.0	1.2831694129261088e-08	0.0	0.0	0.0	0.0	3.6465232406936296e-12	1.1888112584407146e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43899	0.0	0.0	1.2900515343128846e-11	0.0	3.017105713265423e-11	3.782947740014598e-13	0.0	1.789905023474147e-11	4.970929963715715e-13	0.0	0.0	0.0	3.0265257358332294e-11	0.0	1.4442900705317993e-08	0.0	0.0	0.0	0.0	3.5976224729174835e-12	2.711427737619556e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43900	0.0	0.0	1.5921854101769406e-11	0.0	3.0067993409908516e-11	2.5659428130537084e-12	0.0	1.773520830271675e-11	3.3789518383049305e-12	0.0	0.0	0.0	3.036414730552733e-11	0.0	1.6329136413556832e-08	0.0	0.0	0.0	0.0	3.5493302046616772e-12	1.848022661872623e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43901	0.0	0.0	1.9455811977198762e-11	0.0	2.996281247058178e-11	5.941767105271353e-12	0.0	1.75718730726875e-11	7.807610197803288e-12	0.0	0.0	0.0	3.0460835086023954e-11	0.0	1.8547887490298188e-08	0.0	0.0	0.0	0.0	3.501640149515363e-12	4.258681666824623e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43902	0.0	0.0	2.4556538420572456e-11	0.0	2.9855544243205945e-11	1.4473204789371071e-11	0.0	1.740906550137486e-11	1.9004811815857076e-11	0.0	0.0	0.0	3.0555292809385345e-11	0.0	1.993602656779646e-08	0.0	0.0	0.0	0.0	3.4545460503843302e-12	1.0357357078435684e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43903	0.0	0.0	4.565955990368891e-11	0.0	2.9746219136186566e-11	3.426443614905515e-11	0.0	1.7246806070647315e-11	4.497365738023153e-11	0.0	0.0	0.0	3.064749314011269e-11	0.0	2.274423483835305e-08	0.0	0.0	0.0	0.0	3.408041680461251e-12	2.4497383716728288e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43904	0.0	0.0	6.620814963949082e-11	0.0	2.9634868021967084e-11	7.119242593713972e-11	0.0	1.7085114787117282e-11	9.336078103603747e-11	0.0	0.0	0.0	3.073740931212805e-11	0.0	2.582284006866296e-08	0.0	0.0	0.0	0.0	3.362120844155154e-12	5.079857089103601e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43905	0.0	0.0	8.774801533281432e-11	0.0	2.9521522221005727e-11	1.4219532505843115e-10	0.0	1.6924011182022926e-11	1.863471211997649e-10	0.0	0.0	0.0	3.082501514299151e-11	0.0	2.877971530801076e-08	0.0	0.0	0.0	0.0	3.316777377981063e-12	1.0130957000663976e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43906	0.0	0.0	1.1049375370317374e-10	0.0	2.94062134855771e-11	2.441995782066997e-10	0.0	1.6763514311389568e-11	3.1956179647469823e-10	0.0	0.0	0.0	3.091028504784137e-11	0.0	3.2430242744264476e-08	0.0	0.0	0.0	0.0	3.272005151410671e-12	1.7342301719458401e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43907	0.0	0.0	1.3435066414196687e-10	0.0	2.9288973983410265e-11	3.862259019007658e-10	0.0	1.6603642756464873e-11	5.046137545791315e-10	0.0	0.0	0.0	3.099319405304711e-11	0.0	3.5885769506427735e-08	0.0	0.0	0.0	0.0	3.2277980676849427e-12	2.7331233791898097e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43908	0.0	0.0	1.6379086536698632e-10	0.0	2.916983628117608e-11	6.082462250061568e-10	0.0	1.6444414624421828e-11	7.938506634319255e-10	0.0	0.0	0.0	3.107371780956566e-11	0.0	3.900936749854718e-08	0.0	0.0	0.0	0.0	3.1841500645895232e-12	4.294223086274361e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43909	0.0	0.0	1.93417183865011e-10	0.0	2.9048833327835924e-11	8.354028221087162e-10	0.0	1.6285847549323274e-11	1.0877950078583128e-09	0.0	0.0	0.0	3.115183260599037e-11	0.0	4.2500122874286685e-08	0.0	0.0	0.0	0.0	3.1410551151938243e-12	5.867481083431295e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43910	0.0	0.0	2.924306930308778e-10	0.0	2.892599843786438e-11	1.1559385345723483e-09	0.0	1.612795869334179e-11	1.5027840711336423e-09	0.0	0.0	0.0	3.122751538128347e-11	0.0	4.670820041130925e-08	0.0	0.0	0.0	0.0	3.0985072285546486e-12	8.090378130048843e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43911	0.0	0.0	3.93791798004767e-10	0.0	2.880136527435868e-11	1.6070685589815327e-09	0.0	1.597076474822854e-11	2.0870330849591344e-09	0.0	0.0	0.0	3.130074373718289e-11	0.0	5.164738813727088e-08	0.0	0.0	0.0	0.0	3.05650045038518e-12	1.1221477930833988e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43912	0.0	0.0	4.924579802142466e-10	0.0	2.8674967832047263e-11	2.0101038227848785e-09	0.0	1.5814281937024538e-11	2.6036459407913363e-09	0.0	0.0	0.0	3.137149595027374e-11	0.0	5.726421413124592e-08	0.0	0.0	0.0	0.0	3.015028863690216e-12	1.3954680882695068e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43913	0.0	0.0	5.863873349916981e-10	0.0	2.854684042021055e-11	2.4919214165781734e-09	0.0	1.5658526016007812e-11	3.2204095281944395e-09	0.0	0.0	0.0	3.14397509837164e-11	0.0	6.337164413187244e-08	0.0	0.0	0.0	0.0	2.9740865893684446e-12	1.7213083515830099e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43914	0.0	0.0	6.72838814529446e-10	0.0	2.8417017645526645e-11	2.8991950888692916e-09	0.0	1.5503512276869784e-11	3.734361778729407e-09	0.0	0.0	0.0	3.150548849862212e-11	0.0	6.85912713043887e-08	0.0	0.0	0.0	0.0	2.9336677867825883e-12	1.9879941608303237e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43915	0.0	0.0	7.492283689665887e-10	0.0	2.8285534394854695e-11	3.89611044943925e-09	0.0	1.534925554911412e-11	5.022214452576261e-09	0.0	0.0	0.0	3.1568688865068166e-11	0.0	7.340048932843739e-08	0.0	0.0	0.0	0.0	2.8937666542982382e-12	2.6764983539662755e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43916	0.0	0.0	8.095188280324356e-10	0.0	2.8152425817969073e-11	4.5396265963058285e-09	0.0	1.5195770202671242e-11	5.8346735877364196e-09	0.0	0.0	0.0	3.1629333172744355e-11	0.0	7.87122739489788e-08	0.0	0.0	0.0	0.0	2.854377429792155e-12	3.098506188326625e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43917	0.0	0.0	1.1002044703964963e-09	0.0	2.801772731025692e-11	5.311726318913925e-09	0.0	1.5043070150721732e-11	6.810723062565852e-09	0.0	0.0	0.0	3.168740324122361e-11	0.0	8.400274519666726e-08	0.0	0.0	0.0	0.0	2.815494391130851e-12	3.6065536561678607e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0
